image_url,title,museum_index,id,instruments
https://images.metmuseum.org/CRDImages/as/original/DP153182.jpg,"Vasant Ragini, Page from a Ragamala Series (Garland of Musical Modes)",met,50939,"['Pakhawaj', 'Manjira', 'Been']"
https://images.metmuseum.org/CRDImages/as/original/DP-25124-001.jpg,Maharana Ari Singh with His Courtiers Being Entertained at the Jagniwas Water Palace,met,38007,['Pakhawaj']
https://images.metmuseum.org/CRDImages/as/original/DP156162.jpg,Maharaja Bijay Singh in His Harem,met,64533,"['Pakhawaj', 'Been']"
https://images.metmuseum.org/CRDImages/as/original/DP152279.jpg,Vasant Ragini: Folio from a ragamala series (Garland of Musical Modes),met,37882,"['Pakhawaj', 'Manjira']"
https://images.metmuseum.org/CRDImages/as/original/DP156126.jpg,Shri Raga: Folio from a ragamala series (Garland of Musical Modes),met,37871,['Been']
https://images.metmuseum.org/CRDImages/as/original/DP156423.jpg,One of a Pair of Jain Manuscript Covers (Patli),met,74883,['Pakhawaj']
https://images.metmuseum.org/CRDImages/as/original/DP153225.jpg,"Krishna Dancing: Page from the Dispersed ""Boston"" Rasikapriya (Lover's Breviary)",met,58449,"['Pakhawaj', 'Manjira']"
https://images.metmuseum.org/CRDImages/as/original/DP153225.jpg,"Krishna Dancing: Page from the Dispersed ""Boston"" Rasikapriya (Lover's Breviary)",met,58449,"['Pakhawaj', 'Manjira']"
https://openaccess-cdn.clevelandart.org/1962.279.105.a/1962.279.105.a_web.jpg,"The infant son of the king of Isfahan responds to music, from a Tuti-nama (Tales of a Parrot): Thirteenth Night",cma,1962.279.105.a,['Been']
https://openaccess-cdn.clevelandart.org/1962.279.108.b/1962.279.108.b_web.jpg,"The invention of musical instruments from the intestines of a monkey, from a Tuti-nama (Tales of a Parrot): Fourteenth Night",cma,1962.279.108.b,['Been']
https://openaccess-cdn.clevelandart.org/1962.279.110.b/1962.279.110.b_web.jpg,"The origin of music from a fabulous bird of India which had seven holes in its beak, from a Tuti-nama (Tales of a Parrot): Fourteenth Night",cma,1962.279.110.b,['Been']
https://openaccess-cdn.clevelandart.org/1971.79/1971.79_web.jpg,"Prince and ascetics, from the Late Shah Jahan Album",cma,1971.79,['Been']
https://openaccess-cdn.clevelandart.org/1931.451/1931.451_web.jpg,"Shri Raga, from a Ragamala",cma,1931.451,"['Pakhawaj', 'Manjira', 'Been']"
https://openaccess-cdn.clevelandart.org/1975.9/1975.9_web.jpg,Hindola Raga,cma,1975.9,"['Pakhawaj', 'Manjira']"
https://openaccess-cdn.clevelandart.org/1971.88/1971.88_web.jpg,Grotesque Dancers Performing,cma,1971.88,"['Pakhawaj', 'Manjira']"
https://openaccess-cdn.clevelandart.org/2011.141/2011.141_web.jpg,Maharana Jagat Singh Attending the Raslila,cma,2011.141,"['Pakhawaj', 'Manjira', 'Been']"
